,country_name
0,Kiribati
1,Somalia
2,Georgia
3,Malaysia
4,Wallis and Futuna
5,Italy
6,Germany
7,Bosnia and Herzegovina
8,Romania
9,Turks and Caicos Islands
10,Sint Maarten (Dutch part)
11,Jordan
12,Timor-Leste
13,Bangladesh
14,Maldives
15,Cayman Islands
16,Poland
17,Guinea
18,Fiji
19,Eritrea
20,Lithuania
21,Gibraltar
22,Mongolia
23,Bahrain
24,Congo - the Democratic Republic of the
25,Russian Federation
26,Mauritania
27,Suriname
28,Senegal
29,Mali
30,Tokelau
31,Botswana
32,Ethiopia
33,Costa Rica
34,Finland
35,Saint Kitts and Nevis
36,Cook Islands
37,Pitcairn
38,Cambodia
39,Macao
40,Chad
41,Faroe Islands
42,Paraguay
43,Angola
44,Montserrat
45,Virgin Islands - U.S.
46,Saint Vincent and the Grenadines
47,Singapore
48,Bahamas
49,Sri Lanka
